6 6 49 3
1 1 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000 18.000 19.000 20.000 21.000 22.000 23.000 24.000 25.000 27.500 30.000 32.500 35.000 37.500 40.000 42.500 45.000 47.500 50.000 55.000 60.000 65.000 70.000 75.000 80.000 85.000 90.000 95.000 100.000 105.000 110.000 115.000 120.000 
1 1 1 1e-30 10
1 1 2 1e-30 10
1 1 3 1e-30 10
1 1 4 1e-30 10
1 1 5 1e-30 10
1 1 6 1e-30 10
1 1 7 1e-30 10
1 1 8 1e-30 10
1 1 9 1e-30 10
1 1 10 1e-30 10
1 1 11 1e-30 10
1 1 12 1e-30 10
1 1 13 1e-30 10
1 1 14 1e-30 10
1 1 15 1e-30 10
1 1 16 1e-30 10
1 1 17 1e-30 10
1 1 18 1e-30 10
1 1 19 1e-30 10
1 1 20 1e-30 10
1 1 21 1e-30 10
1 1 22 1e-30 10
1 1 23 1e-30 10
1 1 24 1e-30 10
1 1 25 1e-30 10
1 1 26 1e-30 10
1 1 27 1e-30 10
1 1 28 1e-30 10
1 1 29 1e-30 10
1 1 30 1e-30 10
1 1 31 1e-30 10
1 1 32 1e-30 10
1 1 33 1e-30 10
1 1 34 1e-30 10
1 1 35 1e-30 10
1 1 36 1e-30 10
1 1 37 1e-30 10
1 1 38 1e-30 10
1 1 39 1e-30 10
1 1 40 1e-30 10
1 1 41 1e-30 10
1 1 42 1e-30 10
1 1 43 1e-30 10
1 1 44 1e-30 10
1 1 45 1e-30 10
1 1 46 1e-30 10
1 1 47 1e-30 10
1 1 48 1e-30 10
1 1 49 1e-30 10
5 6 10 0.1 10
5 6 11 0.1 10
5 6 10 0.1 10
5 6 11 0.1 10
5 6 10 0.1 10
5 6 11 0.1 10
5 6 10 0.1 10
5 6 11 0.1 10
